Date,Value
2018-04-30,1310.0
2018-03-31,1304.0
2018-02-28,1306.0
2018-01-31,1316.0
2017-12-31,1331.0
2017-11-30,1327.0
2017-10-31,1303.0
2017-09-30,1275.0
2017-08-31,1257.0
2017-07-31,1256.0
2017-06-30,1259.0
2017-05-31,1264.0
2017-04-30,1269.0
2017-03-31,1266.0
2017-02-28,1274.0
2017-01-31,1287.0
2016-12-31,1304.0
2016-11-30,1308.0
2016-10-31,1303.0
2016-09-30,1307.0
2016-08-31,1317.0
2016-07-31,1321.0
2016-06-30,1318.0
2016-05-31,1320.0
2016-04-30,1328.0
2016-03-31,1328.0
2016-02-29,1316.0
2016-01-31,1314.0
2015-12-31,1317.0
2015-11-30,1323.0
2015-10-31,1320.0
2015-09-30,1338.0
2015-08-31,1362.0
2015-07-31,1384.0
2015-06-30,1391.0
2015-05-31,1399.0
2015-04-30,1395.0
2015-03-31,1381.0
2015-02-28,1355.0
2015-01-31,1331.0
2014-12-31,1323.0
2014-11-30,1318.0
2014-10-31,1327.0
2014-09-30,1325.0
2014-08-31,1323.0
2014-07-31,1289.0
2014-06-30,1244.0
2014-05-31,1213.0
2014-04-30,1203.0
2014-03-31,1220.0
2014-02-28,1222.0
2014-01-31,1243.0
2013-12-31,1245.0
2013-11-30,1269.0
2013-10-31,1273.0
2013-09-30,1275.0
2013-08-31,1282.0
2013-07-31,1307.0
2013-06-30,1357.0
2013-05-31,1349.0
2013-04-30,1337.0
2013-03-31,1330.0
2013-02-28,1351.0
2013-01-31,1339.0
2012-12-31,1309.0
2012-11-30,1286.0
2012-10-31,1292.0
2012-09-30,1294.0
2012-08-31,1279.0
2012-07-31,1261.0
2012-06-30,1245.0
2012-05-31,1265.0
2012-04-30,1278.0
2012-03-31,1291.0
2012-02-29,1289.0
2012-01-31,1287.0
2011-12-31,1297.0
2011-11-30,1301.0
2011-10-31,1295.0
2011-09-30,1291.0
2011-08-31,1277.0
2011-07-31,1275.0
2011-06-30,1279.0
2011-05-31,1286.0
2011-04-30,1298.0
2011-03-31,1289.0
2011-02-28,1302.0
2011-01-31,1299.0
2010-12-31,1295.0
2010-11-30,1283.0
